Epreuves,Note/20,Coefficient,Total
Sciences de la nature et de la Vie,17.50,6,105.00
Sciences Physiques,20.00,5,100.00
Mathématiques,18.50,5,092.50
Langue et Littérature Arabe,17.00,3,051.00
Français - Langue Etrangère 1,17.00,2,034.00
Anglais - Langue Etrangère 2,17.50,2,035.00
Philosofie,09.00,2,018.00
Histoire & Géographie,14.50,2,029.00
Langue Amazigh,-,2,--
Sciences Islamiques,17.00,2,034.00
Education Physique et Sportive,19.50,1,19.50
Total Général:,,30,518.00
